category	word	replacement_1	replacement_2	replacement_3
generic use of man	mankind	humankind		
generic use of man	man	humanity		
generic use of man	to be man enough			
generic use of man	to be the right man for the job	to be the right person for the job		
generic use of man	man in the street	ordinary person	ordinary people	
generic use of man	men in white coats	scientistis		
generic use of man	manpower	workforce	personnel	labor force
generic use of man	man hours	hours	total hours	hours worked
generic use of man	fireman	firefighter		
generic use of man	policeman	police officer		
generic use of man	postman	postal worker	postie	
generic use of man	craftsman	craftworker		
generic use of man	dustman	refuse collector		
generic use of man	gentleman's agreement	verbal contract		
generic use of man	walkman	personal stereo		
generic use of man	chairman	chair	chairperson	
generic use of man	spokesman	spokesperson		
generic use of man	spaceman	astronaut		
generic use of man	weatherman	weathercaster	meteorologist	forecaster
generic use of man	businessman	executive	business executive	professional
address terms	Miss	Ms		
address terms	Mrs	Ms		
female-specific terms	stewardess	flight attendant		
female-specific terms	actress	actor		
female-specific terms	wheathergirl	weathercaster	meteorologist	forecaster